,clouds,fog_bool,humidity,hurricane_bool,lat,lon,pres,rain,rain_bool,snow,snow_bool,status,storm_bool,sun_bool,temp,time,tornado_bool,visibility,wind_deg,wind_speed
35,64,False,44,False,39.50161,-119.99866,833.06,0.0,False,0,False,broken clouds,False,False,5.13,2016-10-10 09:00:00+00,False,,223.0,1.21
36,64,False,44,False,39.51545,-119.92401,833.06,0.0,False,0,False,broken clouds,False,False,5.13,2016-10-10 09:00:00+00,False,,223.0,1.21
37,64,False,44,False,39.53185,-119.82398,833.06,0.0,False,0,False,broken clouds,False,False,5.13,2016-10-10 09:00:00+00,False,,223.0,1.21
38,64,False,44,False,39.53052,-119.7324,833.06,0.0,False,0,False,broken clouds,False,False,5.13,2016-10-10 09:00:00+00,False,,223.0,1.21
39,64,False,44,False,39.52922,-119.61531,833.06,0.0,False,0,False,broken clouds,False,False,5.13,2016-10-10 09:00:00+00,False,,223.0,1.21
40,64,False,44,False,39.56813,-119.52027,833.06,0.0,False,0,False,broken clouds,False,False,5.13,2016-10-10 09:00:00+00,False,,223.0,1.21
41,56,False,47,False,39.59012,-119.45359,859.24,0.0,False,0,False,broken clouds,False,False,4.13,2016-10-10 09:00:00+00,False,,243.5,1.06
42,56,False,47,False,39.59811,-119.35877,859.24,0.0,False,0,False,broken clouds,False,False,4.13,2016-10-10 09:00:00+00,False,,243.5,1.06
43,56,False,47,False,39.61325,-119.21738,859.24,0.0,False,0,False,broken clouds,False,False,4.13,2016-10-10 09:00:00+00,False,,243.5,1.06
44,56,False,47,False,39.77146,-119.0348,859.24,0.0,False,0,False,broken clouds,False,False,4.13,2016-10-10 09:00:00+00,False,,243.5,1.06
45,20,False,48,False,39.92275,-118.79798,869.78,0.0,False,0,False,few clouds,False,False,2.86,2016-10-10 09:00:00+00,False,,241.0,1.11
46,20,False,48,False,40.10311,-118.56785,869.78,0.0,False,0,False,few clouds,False,False,2.86,2016-10-10 09:00:00+00,False,,241.0,1.11
47,20,False,48,False,40.1983,-118.43366,869.78,0.0,False,0,False,few clouds,False,False,2.86,2016-10-10 09:00:00+00,False,,241.0,1.11
48,20,False,48,False,40.45735,-118.2857,869.78,0.0,False,0,False,few clouds,False,False,2.86,2016-10-10 09:00:00+00,False,,241.0,1.11
49,36,False,39,False,40.64771,-118.17822,866.86,0.0,False,0,False,scattered clouds,False,False,5.23,2016-10-10 09:00:00+00,False,,213.5,2.01
50,36,False,39,False,40.89237,-117.90067,866.86,0.0,False,0,False,scattered clouds,False,False,5.23,2016-10-10 09:00:00+00,False,,213.5,2.01
